"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,25.0046768188477
24.7798074188418,24.7830352783203
30.7019427857444,38.3786849975586
38.0394114807523,45.6457138061523
47.1304645409561,52.0929870605469
58.3941917442723,68.126823425293
72.3498412900995,81.9953994750977
89.6407566976218,92.0633544921875
111.064034392316,111.039024353027
137.607269170061,137.62043762207
170.494081473342,170.508270263672
211.240525248087,211.205535888672
261.724976735129,261.737091064453
324.274726009868,324.267791748047
401.773263066111,401.756805419922
497.793204240895,497.774078369141
616.760986774879,616.766418457031
764.160923786817,764.160949707031
946.78802642208,946.781982421875
1173.06124806022,1173.04504394531
1453.41159087193,1453.42309570312
1800.76296610594,1800.75085449219
2231.12797535438,2231.13842773437
2764.3460778036,2764.34497070312
3424.9981723502,3425.00341796875
4243.53975603616,4243.611328125
5257.70489643875,5257.68408203125
6514.24573994269,6514.2783203125
8071.08774573953,8071.14697265625
9999.99999999999,9999.52734375

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,0.33795994369295
24.7798074188418,0.324386011240726
30.7019427857444,0.32276721274467
38.0394114807523,0.324947219678109
47.1304645409561,0.329074856688916
58.3941917442723,0.326296442678042
72.3498412900995,0.328496364561778
89.6407566976218,0.325689155707936
111.064034392316,0.342500644912317
137.607269170061,0.322512886322469
170.494081473342,0.330846492881506
211.240525248087,0.305238997973999
261.724976735129,0.305504910191811
324.274726009868,0.29799301635105
401.773263066111,0.285831513555516
497.793204240895,0.263241475377037
616.760986774879,0.218276082068103
764.160923786817,0.185784217248018
946.78802642208,0.0917541105875847
1173.06124806022,-0.0133935196076197
1453.41159087193,-0.198385686776625
1800.76296610594,-0.46312828997164
2231.12797535438,-0.833043546452992
2764.3460778036,-1.42447330021262
3424.9981723502,-2.22181141594368
4243.53975603616,-3.32353708971762
5257.70489643875,-4.78360741128947
6514.24573994269,-6.63490452560971
8071.08774573953,-8.96398478159498
9999.99999999999,-11.8285205557927

