"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,64.7279815673828
24.7798074188418,81.6664123535156
30.7019427857444,94.3990631103516
38.0394114807523,119.828582763672
47.1304645409561,145.909713745117
58.3941917442723,183.987442016602
72.3498412900995,231.163543701172
89.6407566976218,358.107574462891
111.064034392316,266.526031494141
137.607269170061,234.787506103516
170.494081473342,212.357696533203
211.240525248087,268.858367919922
261.724976735129,442.902465820312
324.274726009868,385.0830078125
401.773263066111,449.552276611328
497.793204240895,536.079040527344
616.760986774879,770.924926757813
764.160923786817,783.808044433594
946.78802642208,1101.48278808594
1173.06124806022,1209.81604003906
1453.41159087193,1326.09655761719
1800.76296610594,1533.81677246094
2231.12797535438,1470.73510742187
2764.3460778036,1496.98876953125
3424.9981723502,1664.98217773437
4243.53975603616,1406.85949707031
5257.70489643875,1975.96496582031
6514.24573994269,1365.67431640625
8071.08774573953,1352.64208984375
9999.99999999999,1523.27404785156

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,0.000147163307948122
24.7798074188418,0.00491242157300281
30.7019427857444,-0.0153334915529596
38.0394114807523,-0.0376441962515599
47.1304645409561,-0.0654472745127799
58.3941917442723,-0.112214423416647
72.3498412900995,-0.164961914545845
89.6407566976218,-0.238280056507262
111.064034392316,-0.333518071270709
137.607269170061,-0.459467762274541
170.494081473342,-0.667711237778387
211.240525248087,-1.03086820141537
261.724976735129,-1.66512671613129
324.274726009868,-2.49854431243341
401.773263066111,-3.8620431537959
497.793204240895,-6.0860158999122
616.760986774879,-9.70094446408635
764.160923786817,-15.8403927132163
946.78802642208,-28.1370902062444
1173.06124806022,-43.3758731233505
1453.41159087193,-44.5121924299311
1800.76296610594,-46.1555949045242
2231.12797535438,-45.8666025282721
2764.3460778036,-45.884884204289
3424.9981723502,-45.0274327993268
4243.53975603616,-45.5227611158422
5257.70489643875,-44.9458590493174
6514.24573994269,-45.950273592163
8071.08774573953,-45.7314514434317
9999.99999999999,-46.1407730824213

